Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 713,Airbus A320,Kolkata,Delhi,8:10 AM,12:35 PM,4 hr 25 min,1 stop,132 kg CO2e,12870,"Tue, Dec 3"
IndiGo,6E 6139,Airbus A321neo,Kolkata,Delhi,5:35 AM,12:15 PM,6 hr 40 min,1 stop,119 kg CO2e,13048,"Tue, Dec 3"
IndiGo,6E 822,Airbus A321neo,Kolkata,Delhi,10:00 AM,2:30 PM,4 hr 30 min,1 stop,116 kg CO2e,13229,"Tue, Dec 3"
IndiGo,6E 7351,ATR 72,Kolkata,Delhi,9:40 AM,2:55 PM,5 hr 15 min,1 stop,140 kg CO2e,13268,"Tue, Dec 3"
IndiGo,6E 139,Airbus A320neo,Kolkata,Delhi,6:40 AM,11:15 AM,4 hr 35 min,1 stop,139 kg CO2e,13625,"Tue, Dec 3"
Air India,AI 2706,Airbus A320neo,Kolkata,Delhi,10:25 AM,12:55 PM,2 hr 30 min,Nonstop,112 kg CO2e,14091,"Tue, Dec 3"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Delhi,5:25 AM,12:15 PM,6 hr 50 min,1 stop,177 kg CO2e,14187,"Tue, Dec 3"
IndiGo,6E 334,Airbus A321neo,Kolkata,Delhi,11:00 AM,5:40 PM,6 hr 40 min,1 stop,177 kg CO2e,14187,"Tue, Dec 3"
IndiGo,6E 6917,Airbus A320neo,Kolkata,Delhi,1:45 PM,6:25 PM,4 hr 40 min,1 stop,125 kg CO2e,15075,"Tue, Dec 3"
IndiGo,6E 6785,Airbus A320,Kolkata,Delhi,7:40 AM,12:20 PM,4 hr 40 min,1 stop,140 kg CO2e,15437,"Tue, Dec 3"
IndiGo,6E 212,Airbus A321neo,Kolkata,Delhi,7:30 AM,1:40 PM,6 hr 10 min,1 stop,149 kg CO2e,15717,"Tue, Dec 3"
SpiceJet,SG 254,Boeing 737,Kolkata,Delhi,3:20 PM,5:45 PM,2 hr 25 min,Nonstop,148 kg CO2e,15961,"Tue, Dec 3"
IndiGo,6E 2787,Airbus A320,Kolkata,Delhi,5:30 AM,8:00 AM,2 hr 30 min,Nonstop,113 kg CO2e,10077,"Wed, Dec 4"
IndiGo,6E 2119,Airbus A321neo,Kolkata,Delhi,6:45 AM,9:15 AM,2 hr 30 min,Nonstop,92 kg CO2e,10077,"Wed, Dec 4"
