Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 751,Airbus A320neo,Kolkata,Delhi,12:55 PM,5:50 PM,4 hr 55 min,1 stop,134 kg CO2e,17532,"Thu, Nov 14"
IndiGo,6E 2602,Airbus A321neo,Kolkata,Delhi,4:30 PM,7:00 PM,2 hr 30 min,Nonstop,93 kg CO2e,17533,"Thu, Nov 14"
Air India,AI 2706,Airbus A320neo,Kolkata,Delhi,10:25 AM,12:55 PM,2 hr 30 min,Nonstop,115 kg CO2e,17819,"Thu, Nov 14"
IndiGo,6E 6139,Airbus A321neo,Kolkata,Delhi,5:35 AM,12:15 PM,6 hr 40 min,1 stop,120 kg CO2e,17836,"Thu, Nov 14"
IndiGo,6E 212,Airbus A321neo,Kolkata,Delhi,7:30 AM,1:40 PM,6 hr 10 min,1 stop,151 kg CO2e,18018,"Thu, Nov 14"
IndiGo,6E 822,Airbus A321neo,Kolkata,Delhi,10:00 AM,2:30 PM,4 hr 30 min,1 stop,118 kg CO2e,18613,"Thu, Nov 14"
IndiGo,6E 751,Airbus A320neo,Kolkata,Delhi,12:55 PM,7:10 PM,6 hr 15 min,1 stop,134 kg CO2e,18899,"Thu, Nov 14"
Air India,AI 2778,Airbus A320neo,Kolkata,Delhi,3:20 PM,6:00 PM,2 hr 40 min,Nonstop,115 kg CO2e,18997,"Thu, Nov 14"
Air India,AI 769,Airbus A321,Kolkata,Delhi,9:55 AM,12:30 PM,2 hr 35 min,Nonstop,147 kg CO2e,19079,"Thu, Nov 14"
IndiGo,6E 713,Airbus A320,Kolkata,Delhi,8:10 AM,12:35 PM,4 hr 25 min,1 stop,134 kg CO2e,20298,"Thu, Nov 14"
IndiGo,6E 6785,Airbus A320,Kolkata,Delhi,7:40 AM,12:20 PM,4 hr 40 min,1 stop,142 kg CO2e,20794,"Thu, Nov 14"
Air India,AI 768,Airbus A320neo,Kolkata,Delhi,3:45 PM,6:20 PM,2 hr 35 min,Nonstop,115 kg CO2e,20939,"Thu, Nov 14"
IndiGo,6E 334,Airbus A321neo,Kolkata,Delhi,11:00 AM,5:40 PM,6 hr 40 min,1 stop,179 kg CO2e,21969,"Thu, Nov 14"
IndiGo,6E 7939,ATR 72,Kolkata,Delhi,10:15 AM,3:25 PM,5 hr 10 min,1 stop,123 kg CO2e,22818,"Thu, Nov 14"
IndiGo,6E 6917,Airbus A320neo,Kolkata,Delhi,1:45 PM,6:25 PM,4 hr 40 min,1 stop,126 kg CO2e,23633,"Thu, Nov 14"
SpiceJet,SG 2952,De Havilland-Bombardier Dash-8,Kolkata,Delhi,6:50 AM,12:50 PM,6 hr,1 stop,153 kg CO2e,26503,"Thu, Nov 14"
