Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
Air India,AI 676,Airbus A320neo,Kolkata,Mumbai,9:25 AM,12:40 PM,3 hr 15 min,Nonstop,133 kg CO2e,11541,"Thu, Dec 26"
IndiGo,6E 5065,Airbus A321neo,Kolkata,Mumbai,1:45 AM,4:45 AM,3 hr,Nonstop,110 kg CO2e,11601,"Thu, Dec 26"
IndiGo,6E 344,Airbus A321neo,Kolkata,Mumbai,5:15 AM,11:20 AM,6 hr 5 min,1 stop,174 kg CO2e,11701,"Thu, Dec 26"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Mumbai,5:25 AM,11:10 AM,5 hr 45 min,1 stop,143 kg CO2e,11701,"Thu, Dec 26"
IndiGo,6E 771,Airbus A321neo,Kolkata,Mumbai,6:30 AM,1:30 PM,7 hr,1 stop,172 kg CO2e,11701,"Thu, Dec 26"
IndiGo,6E 563,Airbus A320neo,Kolkata,Mumbai,8:40 AM,2:50 PM,6 hr 10 min,1 stop,180 kg CO2e,11701,"Thu, Dec 26"
Air India,AI 775,Airbus A320neo,Kolkata,Mumbai,4:05 PM,7:15 PM,3 hr 10 min,Nonstop,120 kg CO2e,11843,"Thu, Dec 26"
Air India,AI 2774,Airbus A320neo,Kolkata,Mumbai,5:30 PM,8:25 PM,2 hr 55 min,Nonstop,133 kg CO2e,11843,"Thu, Dec 26"
Air India,AI 773,Airbus A320neo,Kolkata,Mumbai,5:55 PM,8:50 PM,2 hr 55 min,Nonstop,120 kg CO2e,11843,"Thu, Dec 26"
IndiGo,6E 5297,Airbus A321neo,Kolkata,Mumbai,9:30 AM,12:30 PM,3 hr,Nonstop,110 kg CO2e,12452,"Thu, Dec 26"
Air India,AI 2772,Airbus A320neo,Kolkata,Mumbai,10:10 AM,1:05 PM,2 hr 55 min,Nonstop,133 kg CO2e,12486,"Thu, Dec 26"
IndiGo,6E 5288,Airbus A321neo,Kolkata,Mumbai,11:15 AM,2:25 PM,3 hr 10 min,Nonstop,110 kg CO2e,12554,"Thu, Dec 26"
IndiGo,6E 313,Airbus A321neo,Kolkata,Mumbai,6:15 AM,9:15 AM,3 hr,Nonstop,110 kg CO2e,12637,"Thu, Dec 26"
